ts;event_id;aattacks;ablocked_shots;acorners;adangerous_attacks;adangerous_free_kicks;afouls;afree_kicks;agoal;agoal_kicks;aoffsides;apenalties;ared_cards;ashots_off_target;ashots_off_woodwork;ashots_on_target;asubstitutions;athrow_ins;atotal_cards;atotal_shots;ayellow_cards;hattacks;hblocked_shots;hcorners;hdangerous_attacks;hdangerous_free_kicks;hfouls;hfree_kicks;hgoal;hgoal_kicks;hoffsides;hpenalties;hred_cards;hshots_off_target;hshots_off_woodwork;hshots_on_target;hsubstitutions;hthrow_ins;htotal_cards;htotal_shots;hyellow_cards
2021-04-08 21:00:00.000000;30366512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-04-08 21:00:00.000000;30366513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-04-08 21:00:00.000000;30412191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-04-08 21:00:00.000000;30366510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-04-08 21:00:00.000000;30366511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-04-08 21:05:04.000000;30366512;9;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
2021-04-08 21:05:04.000000;30366513;6;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0
2021-04-08 21:05:04.000000;30412191;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;0;1;0;0;1;0;0;1;0;0;0;4;0;1;0
2021-04-08 21:05:04.000000;30366510;5;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;9;0;0;10;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0
2021-04-08 21:05:04.000000;30366511;9;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0
2021-04-08 21:10:07.000000;30366512;18;0;0;4;0;0;0;0;1;0;0;0;0;0;1;0;3;0;1;0;11;0;1;6;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
2021-04-08 21:10:07.000000;30366513;8;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;24;1;2;12;0;0;0;0;0;1;0;0;0;0;2;0;5;0;2;0
2021-04-08 21:10:07.000000;30412191;10;0;0;1;0;1;4;1;1;0;0;0;0;0;1;0;0;0;1;0;10;0;0;3;0;4;1;0;0;1;0;0;1;0;0;0;5;0;1;0
2021-04-08 21:10:07.000000;30366510;6;4;0;11;0;2;0;0;1;0;0;0;0;0;4;0;4;1;4;1;11;0;1;14;1;0;2;0;1;0;0;0;0;0;0;0;3;0;0;0
2021-04-08 21:10:07.000000;30366511;12;1;1;4;0;2;2;0;0;0;0;0;0;0;1;0;3;0;1;0;19;0;0;3;0;2;2;0;1;0;0;0;0;0;0;0;4;0;0;0
2021-04-08 21:15:10.000000;30366512;31;0;0;6;0;0;0;0;2;0;0;0;0;0;1;0;6;0;1;0;16;0;3;11;0;0;0;0;0;1;0;0;1;0;2;0;2;0;3;0
2021-04-08 21:15:10.000000;30366513;11;0;0;5;0;0;0;0;1;0;0;0;1;0;0;0;2;0;1;0;34;1;2;18;0;0;0;0;2;1;0;0;0;0;2;0;6;0;2;0
2021-04-08 21:15:10.000000;30412191;16;0;0;5;0;2;5;1;1;0;0;0;0;0;1;0;1;0;1;0;14;0;0;4;0;5;2;0;0;1;0;0;1;0;0;0;7;0;1;0
2021-04-08 21:15:10.000000;30366510;18;4;1;20;0;2;2;0;1;0;0;0;0;0;4;0;5;1;4;1;14;0;1;16;1;2;2;0;1;1;0;0;0;0;1;0;4;0;1;0
2021-04-08 21:15:10.000000;30366511;16;1;1;5;0;2;2;0;0;0;0;0;1;0;1;0;4;0;2;0;27;0;0;4;0;2;2;0;2;0;0;0;0;0;0;0;5;0;0;0
2021-04-08 21:20:14.000000;30366512;38;0;2;12;0;0;0;0;2;0;0;0;1;0;2;0;7;0;3;0;20;0;3;12;0;0;0;0;1;1;0;0;1;0;2;0;2;0;3;0
2021-04-08 21:20:14.000000;30366513;20;0;1;10;0;1;1;0;1;1;0;0;1;0;1;0;2;0;2;0;42;1;2;20;0;1;1;0;2;1;0;0;0;0;2;0;7;0;2;0
2021-04-08 21:20:14.000000;30412191;22;0;0;7;0;2;7;1;1;0;0;0;0;0;1;0;2;0;1;0;28;0;0;7;0;7;2;0;0;1;0;0;1;0;0;0;9;0;1;0
2021-04-08 21:20:14.000000;30366510;29;4;1;30;1;2;4;0;1;0;0;0;1;0;4;0;6;1;5;1;18;0;1;17;1;4;2;0;2;1;0;0;0;0;1;0;6;0;1;0
2021-04-08 21:20:14.000000;30366511;18;1;1;5;0;3;2;0;1;0;0;0;1;0;1;0;5;0;2;0;32;0;0;8;0;2;3;0;2;0;0;0;0;0;0;0;5;0;0;0
2021-04-08 21:25:24.000000;30366512;46;0;2;19;0;0;0;0;3;0;0;0;3;0;3;0;9;0;6;0;30;0;4;19;0;0;0;0;3;2;0;0;1;0;2;0;3;0;3;0
2021-04-08 21:25:24.000000;30366513;21;0;1;11;0;1;1;0;1;1;0;0;1;0;2;0;2;0;3;0;50;1;3;24;0;1;1;0;2;1;0;0;0;0;2;0;7;0;2;0
2021-04-08 21:25:24.000000;30412191;32;0;0;10;0;2;8;1;2;0;0;0;1;0;1;0;5;0;2;0;33;0;0;9;0;8;2;0;1;1;0;0;1;0;0;0;10;0;1;0
2021-04-08 21:25:24.000000;30366510;40;4;1;38;1;2;6;0;1;0;0;0;1;0;4;0;6;1;5;1;23;0;1;20;1;6;2;0;2;1;0;0;0;0;1;0;8;0;1;0
2021-04-08 21:25:24.000000;30366511;22;1;1;6;0;4;3;0;1;0;0;0;1;0;1;0;5;0;2;0;39;0;0;13;1;3;4;0;2;0;0;0;0;0;0;0;7;0;0;0
2021-04-08 21:30:00.000000;30410135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-04-08 21:30:35.000000;30366512;60;0;2;23;0;0;0;0;3;0;0;0;3;0;3;0;10;0;6;0;33;0;4;21;0;0;0;0;4;3;0;0;1;0;2;0;4;0;3;0
2021-04-08 21:30:35.000000;30366513;27;0;1;13;0;1;1;0;2;1;0;0;1;0;2;1;5;0;3;0;55;2;3;26;0;1;1;0;2;1;0;0;0;0;3;0;7;0;3;0
2021-04-08 21:30:35.000000;30412191;40;0;0;11;0;3;8;1;3;1;0;0;1;0;1;0;6;0;2;0;41;0;0;11;0;8;3;0;1;1;0;0;1;0;0;1;13;0;1;0
2021-04-08 21:30:35.000000;30366510;52;6;1;47;1;2;6;0;2;0;0;0;2;0;6;0;7;1;8;1;28;0;1;22;1;6;2;0;3;1;0;0;1;0;1;0;9;0;2;0
2021-04-08 21:30:35.000000;30366511;22;1;1;6;0;5;4;0;3;0;0;0;1;0;1;0;5;0;2;0;43;0;0;15;1;4;5;0;2;0;0;0;2;0;0;0;9;0;2;0
2021-04-08 21:35:01.000000;30410135;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2021-04-08 21:35:42.000000;30366512;66;0;3;27;0;0;0;0;5;0;0;0;3;0;3;0;10;0;6;0;36;0;4;25;0;0;0;0;4;3;0;0;2;0;2;0;6;0;4;0
2021-04-08 21:35:42.000000;30366513;33;0;1;17;0;1;2;0;3;2;0;0;1;0;2;1;6;0;3;0;61;2;4;31;0;2;1;0;2;1;0;0;1;0;3;0;7;0;4;0
2021-04-08 21:35:42.000000;30412191;42;0;0;11;0;4;9;1;3;1;0;0;1;0;1;0;6;0;2;0;49;0;0;15;0;9;4;0;1;2;0;0;1;0;0;1;13;0;1;0
2021-04-08 21:35:42.000000;30366510;57;7;1;56;1;3;7;1;3;0;0;0;2;0;8;0;8;1;10;1;34;0;1;25;1;7;3;0;3;1;0;0;2;0;1;0;9;0;3;0
2021-04-08 21:35:42.000000;30366511;24;1;1;8;0;7;5;0;3;0;0;0;1;0;2;0;6;0;3;0;51;0;0;19;1;5;7;0;2;0;0;0;2;0;1;0;9;0;3;0
2021-04-08 21:40:02.000000;30410135;10;0;1;4;0;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;7;1;0;2;0;3;2;0;1;0;0;0;0;0;1;0;2;0;1;0
2021-04-08 21:40:53.000000;30366512;69;0;3;29;0;1;0;0;8;0;0;0;3;0;3;0;11;0;6;0;45;1;4;32;0;0;1;0;4;3;0;0;3;0;3;0;7;0;6;0
2021-04-08 21:40:53.000000;30366513;36;0;1;19;0;2;2;0;4;2;0;0;1;0;2;1;6;0;3;0;70;3;4;36;0;2;2;1;2;2;0;0;1;0;5;0;7;0;6;0
2021-04-08 21:40:53.000000;30412191;46;0;0;12;0;4;10;1;3;1;0;0;1;0;1;0;7;0;2;0;60;0;0;15;0;10;4;0;1;2;0;0;1;0;0;1;14;1;1;1
2021-04-08 21:40:53.000000;30366510;65;8;2;59;1;4;9;1;3;0;0;0;2;0;9;0;10;2;11;2;40;0;1;32;1;9;4;0;3;1;0;0;2;0;1;0;9;0;3;0
2021-04-08 21:40:53.000000;30366511;29;1;1;9;0;8;5;0;3;0;0;0;1;0;2;0;9;0;3;0;56;1;1;22;2;5;8;0;2;0;0;0;2;0;2;0;11;0;4;0
2021-04-08 21:45:04.000000;30410135;15;0;1;7;0;3;4;0;0;1;0;0;1;0;1;0;0;0;2;0;13;1;0;7;0;4;3;0;2;0;0;0;0;0;1;0;3;0;1;0
2021-04-08 21:46:02.000000;30366512;70;0;4;31;0;1;0;1;9;0;1;0;3;0;4;0;11;0;7;0;49;1;4;33;0;1;1;0;4;3;0;0;3;0;3;0;8;0;6;0
2021-04-08 21:46:02.000000;30366513;48;0;2;25;0;3;3;0;4;2;0;0;1;0;2;1;6;0;3;0;76;2;4;38;0;3;3;1;2;2;0;0;1;0;5;0;7;0;6;0
2021-04-08 21:46:02.000000;30412191;47;0;2;16;0;4;10;1;4;1;0;0;1;0;1;0;7;0;2;0;72;0;1;18;0;10;4;0;1;2;0;0;1;0;0;1;17;1;1;1
2021-04-08 21:46:02.000000;30366510;69;8;2;61;1;6;8;1;4;0;0;0;2;0;9;0;11;3;11;3;45;2;4;41;2;8;6;0;3;1;0;0;4;1;4;0;9;0;8;0
2021-04-08 21:46:02.000000;30366511;31;1;1;10;0;9;6;0;3;0;0;0;1;0;2;0;10;0;3;0;62;1;2;24;2;6;9;0;3;0;0;0;2;0;2;0;11;0;4;0
2021-04-08 21:50:05.000000;30410135;18;0;1;7;0;4;5;0;1;1;0;0;1;0;1;0;1;0;2;0;19;2;0;9;0;5;4;1;2;0;0;0;0;0;3;0;6;0;3;0
2021-04-08 21:51:07.000000;30366512;71;0;4;31;0;2;1;1;9;0;1;0;3;0;4;0;11;0;7;0;55;1;4;33;0;2;2;0;4;3;0;0;3;0;3;0;10;0;6;0
2021-04-08 21:51:07.000000;30366513;52;0;2;26;0;3;4;0;4;3;0;0;1;0;2;1;6;0;3;0;78;2;4;38;0;4;3;1;2;2;0;0;1;0;5;0;7;0;6;0
2021-04-08 21:51:07.000000;30412191;50;0;2;16;0;4;10;1;4;1;0;0;1;0;1;0;7;0;2;0;77;0;1;20;0;10;4;0;1;2;0;0;1;0;0;1;18;1;1;1
2021-04-08 21:51:07.000000;30366510;73;8;2;64;1;6;8;1;5;0;0;0;2;0;9;0;11;3;11;3;47;2;4;46;2;8;6;0;3;1;0;0;4;1;4;0;10;0;8;0
2021-04-08 21:51:07.000000;30366511;31;1;1;10;0;9;6;0;3;0;0;0;1;0;2;0;10;0;3;0;62;1;2;24;2;6;9;0;3;0;0;0;2;0;2;0;11;0;4;0
2021-04-08 21:55:10.000000;30410135;24;0;1;8;0;5;6;0;1;1;0;0;1;0;1;0;1;0;2;0;25;2;0;11;0;6;5;2;2;0;0;0;0;0;4;0;7;0;4;0
2021-04-08 21:56:28.000000;30366512;71;0;4;31;0;2;1;1;9;0;1;0;3;0;4;0;11;0;7;0;55;1;4;33;0;2;2;0;4;3;0;0;3;0;3;0;10;0;6;0
2021-04-08 21:56:28.000000;30366513;52;0;2;26;0;3;4;0;4;3;0;0;1;0;2;1;6;0;3;0;78;2;4;38;0;4;3;1;2;2;0;0;1;0;5;0;7;0;6;0
2021-04-08 21:56:28.000000;30412191;50;0;2;16;0;4;10;1;4;1;0;0;1;0;1;0;7;0;2;0;77;0;1;20;0;10;4;0;1;2;0;0;1;0;0;1;18;1;1;1
2021-04-08 21:56:28.000000;30366510;73;8;2;64;1;6;8;1;5;0;0;0;2;0;9;0;11;3;11;3;47;2;4;46;2;8;6;0;3;1;0;0;4;1;4;0;10;0;8;0
2021-04-08 21:56:28.000000;30366511;31;1;1;10;0;9;6;0;3;0;0;0;1;0;2;0;10;0;3;0;62;1;2;24;2;6;9;0;3;0;0;0;2;0;2;0;11;0;4;0
2021-04-08 22:00:14.000000;30410135;29;0;1;12;0;5;7;0;1;2;0;0;1;0;1;0;2;0;2;0;28;2;1;13;0;7;5;2;3;0;0;0;1;1;4;0;8;0;5;0
2021-04-08 22:01:53.000000;30366512;71;0;4;31;0;2;1;1;9;0;1;0;3;0;4;0;11;0;7;0;55;1;4;33;0;2;2;0;4;3;0;0;3;0;3;0;10;0;6;0
